seed,obs_num,plan_num,arrival_time,char_time,Spec,Name,dist,luminosity,comp0,Mp
10185257,175,1,138.45426834449756,0.5627583403436566,M1.0V,HIP 25878,5.68,0.07,0.7797255389561716,2.1898921128767608
10185257,193,1,154.56656433064182,0.5154712395682522,M1.5V,HIP 106440,4.95,0.03,0.5166291765587968,2.1379948767451626
10185257,249,1,207.80443975523121,0.6243243950867825,M1.0V,HIP 25878,5.68,0.07,0.7797255389561716,2.1898921128767608
10185257,268,1,233.1109379053425,0.4214938171026364,M1.0V,HIP 25878,5.68,0.07,0.7797255389561716,2.1898921128767608
10185257,278,1,243.61276682559657,1.606453047521316,K4V,HIP 116745,11.42,0.24,0.7192410178138123,2.1527127435433577
10185257,287,1,259.02659558918566,0.34683397252760517,M1.0V,HIP 25878,5.68,0.07,0.7797255389561716,2.1898921128767608
10185257,351,1,351.4544879668587,2.8188797538825043,K0V,HIP 40693,12.49,0.63,0.7668215519978713,1.408141438593866
10185257,366,1,380.4282236505392,2.481845163359547,K3V,HIP 117712,10.89,0.39,0.7980106091324847,1.4908154094153914
10185257,371,1,392.6168536794325,3.275669329680284,M1V,HIP 85295,7.7,0.12,0.7590214978087332,1.1360011150304508
10185257,380,1,410.0668338878374,26.57248613522259,G8V,HIP 38784,17.19,0.66,0.7017175252906531,0.7474889851943965
10185257,380,2,410.0668338878374,26.57248613522259,G8V,HIP 38784,17.19,0.66,0.7017175252906531,1.7184517059100068
10185257,470,1,649.783920355678,1.5367737528508898,G2V,HIP 15371,12.03,1.03,0.7199485127956713,2.479697590564656
10185257,475,1,661.7851065895456,5.68670697400544,K3V,HIP 68184,10.06,0.33,0.8089426216596044,0.9538277816166713
10185257,506,1,745.3124715060198,5.351272512990747,K3V,HIP 68184,10.06,0.33,0.8089426216596044,0.9538277816166713
10185257,525,1,797.8239196712111,10.456046551226423,K7V,HIP 82003,9.81,0.11,0.4719592782326009,0.4874583432646044
10185257,529,1,827.4157068408347,5.3636994106056175,K3V,HIP 68184,10.06,0.33,0.8089426216596044,0.9538277816166713
10185257,535,1,849.4093224742967,9.892913611477555,K7V,HIP 82003,9.81,0.11,0.4719592782326009,0.4874583432646044
10185257,548,1,900.4667270849952,10.423841050575367,K7V,HIP 82003,9.81,0.11,0.4719592782326009,0.4874583432646044
10185257,559,1,954.5126920301398,9.982043817360625,K7V,HIP 82003,9.81,0.11,0.4719592782326009,0.4874583432646044
10185257,570,1,1007.5312177816238,12.228805108908277,K7V,HIP 82003,9.81,0.11,0.4719592782326009,0.4874583432646044
10185257,581,1,1062.115458952878,18.172888901395716,K7V,HIP 82003,9.81,0.11,0.4719592782326009,0.4874583432646044
10185257,583,1,1101.7838646900116,13.82099901222695,G5V,HIP 70319,17.19,0.86,0.7027663682356555,2.487678617274599
10185257,584,1,1129.9098627144656,12.34951372093446,K7V,HIP 82003,9.81,0.11,0.4719592782326009,0.4874583432646044
10185257,595,1,1185.16817838164,9.911973618223216,K7V,HIP 82003,9.81,0.11,0.4719592782326009,0.4874583432646044
10185257,605,1,1235.9763128812804,10.422744542854891,K7V,HIP 82003,9.81,0.11,0.4719592782326009,0.4874583432646044
10185257,609,1,1266.3759279256235,17.589392537724308,K3V,HIP 46580,12.91,0.27,0.6719753892938238,1.0859485867675256
10185257,631,1,1380.0302993744638,29.25027166783204,K3V,HIP 46580,12.91,0.27,0.6719753892938238,1.0859485867675256
10185257,633,1,1442.4731966324096,18.838805211645205,G5V,HIP 57507,17.47,0.73,0.7013484942248489,2.5337410270551946
10185257,634,1,1480.6348070556999,10.965946197258944,K3V,HIP 46580,12.91,0.27,0.6719753892938238,1.0859485867675256
10185257,636,1,1504.782010187718,36.213993759385765,G3V,HIP 100017,17.57,1.18,0.6264137309979363,0.5492232783172104
10185257,637,1,1577.6939977064897,11.459935607424837,K3V,HIP 46580,12.91,0.27,0.6719753892938238,1.0859485867675256
10185257,650,1,1648.955890892558,15.203112491504319,G5V,HIP 57507,17.47,0.73,0.7013484942248489,2.5337410270551946
10185257,666,1,1744.8097341215896,29.83233072559551,K3V,HIP 46580,12.91,0.27,0.6719753892938238,1.0859485867675256
114627190,170,1,134.39428865249235,1.3420515788492886,M1.0V,HIP 67155,5.41,0.04,0.5876615713936273,0.943094091141902
114627190,202,1,166.01733838151964,1.667863814218129,K3V,HIP 32984,8.71,0.24,0.8233796317069627,1.205727450268354
114627190,232,1,194.84233122055153,2.361179635665989,M1V,HIP 85295,7.7,0.12,0.7590214978087332,1.1849042676220627
114627190,232,2,194.84233122055153,2.361179635665989,M1V,HIP 85295,7.7,0.12,0.7590214978087332,1.2983033519120393
114627190,260,1,232.12981586453648,1.7041242817137747,K3V,HIP 32984,8.71,0.24,0.8233796317069627,1.205727450268354
114627190,299,1,288.1491787694795,0.923020522561098,K3V,HIP 32984,8.71,0.24,0.8233796317069627,1.205727450268354
114627190,323,1,319.65442271268216,4.071673535691259,K3V,HIP 69972,11.8,0.39,0.7801890484698213,1.5106531439384172
114627190,325,1,328.7818391764056,0.13143885053395585,K0.5V,HIP 19849,4.98,0.42,0.8511648836704244,1.1546078960734456
114627190,328,1,331.6902317620405,2.3579553527430583,G0V,HIP 84862,14.33,1.3,0.5979335983679318,2.31584864297165
114627190,332,1,338.98013460388006,1.7043553556934472,K5.0V,HIP 104214,3.5,0.13,0.9171512226968481,0.48104184633726177
114627190,333,1,342.872845315267,0.8364282385944684,K3V,HIP 32984,8.71,0.24,0.8233796317069627,1.205727450268354
