seed,Name,Spec,L,MsTrue,comp0,dist
10185257,HIP 72493 A,K0V,0.81,1.0206502910335027,0.49970470843101406,24.93
10185257,HIP 72634 A,K0...,0.86,1.0107409076158305,0.344207493374858,29.44
10185257,HIP 72659 A,G7.0V,0.65,0.8934337470650779,0.8032185458063504,6.78
10185257,HIP 72688,K3V,0.26,0.7856653201327664,0.3147229769406643,17.03
10185257,HIP 72848,K2V,0.54,0.8877833083589332,0.7845552013025686,11.51
10185257,HIP 73005,K1V,0.43,0.9401072313279285,0.23224497952722428,23.39
10185257,HIP 73100,F7V,3.04,1.2488703779770205,0.14848092955969466,25.11
10185257,HIP 73547,G6V,0.56,0.8865152207874297,0.2218209649835506,26.88
10185257,HIP 73941,F8V,2.22,1.2955048265503943,0.24908907166080088,29.83
10185257,HIP 74273,G2V,1.59,1.1167496381586879,0.43535797230848633,24.2
10185257,HIP 74432,G5V,1.45,1.1502817661388012,0.4450696218705959,27.24
10185257,HIP 74500,G5V,1.63,1.0768085174558844,0.4075369346966031,26.21
10185257,HIP 74653,G5IV,1.18,1.112015794675317,0.5210824064824532,26.5
10185257,HIP 74702,K0V,0.43,0.8311421961385357,0.6723377932295517,15.85
10185257,HIP 75181,G3/5V,1.09,1.0522648052670198,0.6817706206725854,14.81
10185257,HIP 75253,K2V,0.35,0.8075700364393693,0.17631415125775948,22.11
10185257,HIP 75277,K0,0.52,0.9847807370305927,0.5529609133724472,19.6
10185257,HIP 75363,G8/K0V,0.77,0.990374006084482,0.323568238519967,28.56
10185257,HIP 75809,G8IV-V+...,1.01,1.0528228452567052,0.6393724596947787,21.85
10185257,HIP 75829,G5,0.55,0.8645174903913443,0.4745166096578504,21.51
10185257,HIP 76074,M2.5V,0.03,0.4698465642781972,0.28327427894322255,5.93
10185257,HIP 76233,G3V,1.42,1.1946384498248022,0.473127450487052,25.56
10185257,HIP 76375,K3V,0.47,0.8817229745850169,0.33914779043836113,22.38
10185257,HIP 76602,F6IV-V,1.23,1.098717888690532,0.5437287363509031,24.4
10185257,HIP 76603,F5/8,1.72,1.1328424653240188,0.38066953075023063,26.62
10185257,HIP 76829,F3/5V,3.58,1.426153441959663,0.13062379240809327,17.44
10185257,HIP 77257,G0Vvar,2.22,1.2670517264865844,0.3287289267837775,12.12
10185257,HIP 77358,G6IV,0.87,1.0459127133850092,0.7192165672061139,15.35
10185257,HIP 77408,K0V,0.48,0.8740279394390573,0.4116494472584353,21.29
10185257,HIP 77760,F9V,3.26,1.383138294204436,0.1530486422786565,15.89
10185257,HIP 77801,G0IV,1.0,0.9867152014751877,0.6908217286529248,17.35
10185257,HIP 78072,F6V,3.13,1.3770013137518728,0.17356366667677195,11.25
10185257,HIP 78170,K4V,0.19,0.703694763296704,0.2997779845673943,14.73
10185257,HIP 78217,G5,1.01,1.0015868450248502,0.4115127645389602,29.59
10185257,HIP 78241,K0V,0.43,0.8535821944354993,0.10097162241410247,26.23
10185257,HIP 78459,G2V,1.83,1.235052879236097,0.40845200422393196,17.24
10185257,HIP 78738,K1(V),0.65,0.917050289097974,0.37612857023640167,25.26
10185257,HIP 78739,K2V,0.33,0.8842746308563285,0.11849947970632316,22.6
10185257,HIP 78775,G8V,0.46,0.838934198731742,0.7289322677788393,14.52
10185257,HIP 78843,K3/4V,0.49,0.9164028386700088,0.5755558891525346,18.71
10185257,HIP 78955,G5V,1.96,1.2687981875240026,0.32033413690786394,27.11
10185257,HIP 79143,G8V,0.8,1.048304163092423,0.4573416842683314,25.77
10185257,HIP 79190,K1/2V,0.33,0.8710734756410474,0.6423837945975213,14.67
10185257,HIP 79248,K0V,0.7,0.9630819745616346,0.6979566463834942,17.57
10185257,HIP 79537,G8/K0V(W),0.21,0.8216645901110288,0.44010173461480345,13.89
10185257,HIP 79578,G1V,1.01,1.1226901108179628,0.6438443117524028,21.55
10185257,HIP 79607 A,F8V,2.19,1.1766642648281922,0.305066158185231,21.08
10185257,HIP 79672,G5V,1.11,1.0164560150670787,0.6788889973955056,13.9
10185257,HIP 79755,M0Vvar,0.1,0.6482737593222393,0.299332944993109,10.69
10185257,HIP 79777,G6V,0.7,0.9850652080149879,0.27080267567569977,28.65
10185257,HIP 80218,G8/K0V,0.84,1.048088739025492,0.40558504737901263,27.57
10185257,HIP 80337,G3/5V,1.03,1.0824657836737612,0.7158813475454489,12.78
10185257,HIP 80686,G0V,1.41,1.102884346838709,0.5648958843903228,12.12
10185257,HIP 80902,G0,1.11,1.1132219568509854,0.4763076092532043,28.22
10185257,HIP 81300,K1V,0.47,0.9620055219445016,0.8087245532398495,9.75
10185257,HIP 81375,K0V,0.6,0.9696034921115705,0.5837006173762382,20.33
10185257,HIP 81520,G3V,0.71,0.9912199720311673,0.5539648856542994,22.45
10185257,HIP 81681,G5V,1.04,1.0924858911095663,0.4196404905088071,29.57
10185257,HIP 81746,G3V,1.0,1.083984763014083,0.5198995790168315,26.64
10185257,HIP 81800,F8V,1.95,1.1155439220660628,0.30523839169706896,29.33
10185257,HIP 81813,K1V,0.59,0.993909546281809,0.33508531867549707,25.02
10185257,HIP 82003,K7V,0.11,0.659235339019054,0.4719592782326009,9.81
10185257,HIP 82588,K1V,0.63,0.9368419301487131,0.6967415614952601,17.25
10185257,HIP 82860,F6Vvar,2.26,1.2492287868114662,0.31169443905603667,15.26
10185257,HIP 83006,K0,0.25,0.8279500655787202,0.23466103128347754,17.8
10185257,HIP 83020 A,K0,0.29,0.793040817743925,0.2927017841187139,18.3
10185257,HIP 83101 A,K3/4V,0.24,0.7816959917912101,0.12773157316977196,19.11
10185257,HIP 83276,G2V,0.96,1.0704992681767154,0.4735817520915812,27.38
10185257,HIP 83389,G8V,0.65,1.0040636399792555,0.6683255443775575,18.59
10185257,HIP 83541,K1V,0.72,0.9338268964534991,0.6944652231324023,17.84
10185257,HIP 83591,K4/5V,0.16,0.7073263271449123,0.6006996351893894,10.71
10185257,HIP 83601,F8V,1.51,1.1990657844461077,0.48544825977353206,20.67
10185257,HIP 83846,K3V,0.44,0.8326487286858737,0.1254188725260534,25.93
10185257,HIP 83990,K2V,0.23,0.7806112336652657,0.5238750888362533,13.62
10185257,HIP 84140 A,M3.0V,0.03,0.46537022449414767,0.18967775254235963,6.4
10185257,HIP 84195,K0,0.33,0.8299583693191841,0.20476117091581258,20.96
10185257,HIP 84405 B,K1.5V,0.69,0.9073560960200224,0.8001079497596698,5.95
10185257,HIP 84478,K5.0V,0.16,0.6977260601947383,0.8738582856949385,5.95
10185257,HIP 84616,K2,0.26,0.8047931397304512,0.22276572183888882,18.33
10185257,HIP 84709,M1.5V,0.13,0.7468626555501928,0.8254335331806132,6.84
10185257,HIP 84720 A,M0V,0.52,0.8484162929091099,0.8107978624622891,8.8
10185257,HIP 84862,G0V,1.3,1.1492839194989357,0.5979335983679318,14.33
10185257,HIP 84893,F2/3V,4.42,1.364698775239503,0.1000473993080205,17.36
10185257,HIP 84988,G2V,1.12,1.0230980874094138,0.4837338437992115,28.03
10185257,HIP 85007,F8V,1.35,1.104548747464588,0.43076231255676883,29.31
10185257,HIP 85235,K0V,0.44,0.8419031138397358,0.7657540537288953,12.8
10185257,HIP 85268,G0,1.75,1.1285005351273292,0.3661000730625486,27.46
10185257,HIP 85295,M1V,0.12,0.6822215788097663,0.7590214978087332,7.7
10185257,HIP 85523,M2.5V,0.02,0.4525787409585971,0.3655604589212512,4.54
10185257,HIP 85653,G5,0.63,0.9931433742283842,0.5048575356733048,22.27
10185257,HIP 85810,G5V,1.27,1.034813759785134,0.537273798506054,23.92
10185257,HIP 86162,M3.0V,0.02,0.4994813307380656,0.3655604589212512,4.54
10185257,HIP 86400,K2V,0.34,0.8210485245385263,0.7897311168854184,11.0
10185257,HIP 86620,G0V,2.19,1.1742555711029068,0.295686888802863,23.06
10185257,HIP 86722,K0V,0.52,0.8724070149784068,0.38269698472683294,22.65
10185257,HIP 86796,G3IV/V,2.01,1.244244640058739,0.368204775710454,15.51
10185257,HIP 88194,G2V,1.09,1.0054214032349515,0.47005254301912264,28.36
10185257,HIP 88348,K0V,0.76,1.0113727164156536,0.5954182957571057,22.12
10185257,HIP 88574,K4/5V,0.04,0.5052838025821406,0.13361091704029415,7.76
10185257,HIP 88601 A,K0V,0.68,1.009679746439454,0.8047020520552819,5.1
10185257,HIP 88622,G2V,0.98,1.0550870462498303,0.5990621291173618,23.91
10185257,HIP 88694,G3V,1.15,1.0223182131674673,0.6385476166327755,17.55
10185257,HIP 88945,G0,1.02,1.0450178217355357,0.5817458077765107,24.82
10185257,HIP 88972,K2V,0.36,0.8548195516727422,0.7926855932053968,11.02
10185257,HIP 89042,G1V,1.78,1.218787094027672,0.4207105992764839,17.61
10185257,HIP 89211,M0V,0.13,0.6804525680930529,0.20985091735136202,13.1
10185257,HIP 89474,G2V,1.41,1.1034343562035338,0.5018337998838709,22.82
10185257,HIP 89805,G0/1V,1.6,1.1680684624673197,0.44119441668932213,23.05
10185257,HIP 90223,G1/2V,1.87,1.248635455034243,0.33122701686348704,28.28
10185257,HIP 90355,G7V,0.59,0.883770895857972,0.1683770286132349,28.89
10185257,HIP 90656,K4V,0.27,0.8128129490843136,0.22663113462044573,18.62
10185257,HIP 90790,K1V,0.35,0.8649166801184415,0.7261117622494967,13.25
10185257,HIP 90864,G8V,0.83,0.9733417765172564,0.46558796345897885,25.98
10185257,HIP 91009,K7Vvar,0.28,0.7407371387600344,0.41472809871285304,16.35
10185257,HIP 91768,M3.0V,0.01,0.45371592477164896,0.2485926342074421,3.52
10185257,HIP 91772,M3.5V,0.01,0.41050270704289243,0.2485926342074421,3.52
10185257,HIP 91949,K0,0.68,0.908182150171387,0.3364500636746351,26.69
10185257,HIP 92270,F8V,2.39,1.2933491206329224,0.22659983288747074,28.75
10185257,HIP 92283,K0,0.24,0.7366743291981521,0.27673383375028965,16.86
10185257,HIP 92569,G5/6V,0.74,0.9550327061882412,0.30886940116000805,28.42
10185257,HIP 92858,K1V,0.4,0.8533604531252174,0.14869294472991398,24.21
10185257,HIP 92919,K0V,0.31,0.8246066192412879,0.14463806398516812,21.39
