seed,obs_num,plan_num,arrival_time,det_SNR,det_comp,det_time,det_status,WA,dMag,fEZ,Spec,Name,dist,luminosity,comp0,Mp
10185257,5,1,1.9685081893845124,2.6845928045859035,0.532662851788144,0.009777868929271795,0,0.18099574122620643,25.279467387153733,3.051053453331271e-10,G9.0V,HIP 96100,5.75,0.44,0.8434497535712138,0.5612015958344897
10185257,9,1,3.996520780752073,7.875435620877692,0.5503088399937851,0.028770959074814743,1,0.25563847921940996,25.177009296434857,3.5593392425762835e-09,G3V,HIP 3821 A,5.94,1.31,0.6223399097766197,1.2931394207233322
10185257,27,1,14.93390621183744,5.469566200329791,0.566791964308051,0.14250651979875542,0,0.11460886209369002,25.21991618597161,1.2953770547839377e-09,G6V,HIP 29271,10.2,0.91,0.748776236159663,0.7611749729395506
10185257,28,1,15.70291925143495,6.2524877572049355,0.5293781552676758,0.14037662340504906,0,0.08976475752290555,25.17599228832101,6.346593382508812e-10,G2V,HIP 15371,12.03,1.03,0.7199485127956713,0.4342910036183618
10185257,30,1,16.971471506701626,4.629985076967989,0.6709158852862988,0.14936077457739239,0,0.17737399087852332,25.050170352104328,1.174877482161678e-08,G7.0V,HIP 72659 A,6.78,0.65,0.8032185458063504,0.733785842687361
10185257,33,1,19.2594674732969,0.17259721594481342,0.6608541182694015,0.17940079420150545,0,0.07432137840896706,28.784603922304186,5.681586768231746e-09,G5V,HIP 15457,9.14,0.88,0.7579666656021945,0.6341919827518183
10185257,43,1,26.987755205354553,7.955209505491962,0.44843039742676394,0.0356542027358326,1,0.04801461852449433,21.624483666856122,3.9549503431039285e-10,F0Ib-II,HIP 58910,5.52,0.03,0.3749622574774261,0.9735057129612203
10185257,58,1,39.18363973612212,8.320741255348327,0.4471232027471323,0.034520241071286185,1,0.04719426261043887,21.55450503924776,3.9549503431039285e-10,F0Ib-II,HIP 58910,5.52,0.03,0.3749622574774261,0.9735057129612203
10185257,62,1,43.06847282175384,5.042649037578425,0.5322372569063396,0.34229501546884805,0,0.08647307950904182,25.024030747829343,7.749958379690402e-10,G8V,HIP 43587,12.34,0.66,0.7653005752520591,0.4733405114489258
10185257,71,1,51.817279010377334,5.723009455407482,0.4462503194970132,0.033800864522678914,0,0.04993109711511609,22.048797421331827,3.9549503431039285e-10,F0Ib-II,HIP 58910,5.52,0.03,0.3749622574774261,0.9735057129612203
10185257,72,1,52.36888073942269,2.560930857642667,0.8540280690056706,0.4208428092836461,0,0.15973783749552992,25.18895543172167,1.7654029493748635e-07,K0.5V,HIP 19849,4.98,0.42,0.8511648836704244,0.3635275923672908
10185257,81,1,60.96755021627757,0.29803213279866514,0.6987218538968096,0.46963401440935687,0,0.05806126577783519,27.506691887552694,7.892646351585152e-09,K1V,HIP 81300,9.75,0.47,0.8087245532398495,0.697721667584317
10185257,83,1,62.94603547331353,5.342119226741405,0.5435398487098112,0.2598609813315886,0,0.0614169707719091,22.78182063391331,1.1513717801353412e-09,K7.0V,HIP 120005,6.11,0.08,0.7763997996581847,0.5907183512911676
10185257,84,1,63.94975743597671,3.095410759791025,0.4455222890874681,0.03321901144083597,0,0.047255656143789904,22.700403961310016,3.9549503431039285e-10,F0Ib-II,HIP 58910,5.52,0.03,0.3749622574774261,0.9735057129612203
10185257,95,1,73.4842447199148,0.8399426426334469,0.5331294017806064,0.009977568502048284,0,0.15301207336975228,26.54216789333825,3.051053453331271e-10,G9.0V,HIP 96100,5.75,0.44,0.8434497535712138,0.5612015958344897
10185257,99,1,76.14867790215986,3.4369003609685937,0.44518607574427854,0.03295922938653867,0,0.04793804407382092,22.596667840041896,3.9549503431039285e-10,F0Ib-II,HIP 58910,5.52,0.03,0.3749622574774261,0.9735057129612203
10185257,110,1,88.55358287701885,6.482090675965397,0.4453068715020422,0.033053857180385476,0,0.0497477163604621,21.901341104773916,3.9549503431039285e-10,F0Ib-II,HIP 58910,5.52,0.03,0.3749622574774261,0.9735057129612203
10185257,114,1,91.96364889330307,5.6073016599666285,0.5436696794205169,0.2565618236196962,0,0.06094663560229464,22.723621117940702,1.1513717801353412e-09,K7.0V,HIP 120005,6.11,0.08,0.7763997996581847,0.5907183512911676
10185257,125,1,101.06937014866891,8.487943998961258,0.4460645530543539,0.033655971294673764,1,0.04673219478916555,21.5209566935609,3.9549503431039285e-10,F0Ib-II,HIP 58910,5.52,0.03,0.3749622574774261,0.9735057129612203
10185257,130,1,115.73691239843232,5.920375068028636,0.6719013647118668,0.14844822534632915,0,0.04920895639254234,24.324138817326123,1.174877482161678e-08,G7.0V,HIP 72659 A,6.78,0.65,0.8032185458063504,0.733785842687361
10185257,136,1,120.14456435900722,3.071248945071943,0.5431698480584878,0.2664156201101249,0,0.06122919600323164,23.387491273362826,1.1513717801353412e-09,K7.0V,HIP 120005,6.11,0.08,0.7763997996581847,0.5907183512911676
10185257,142,1,125.83982026774505,9.794363097643215,0.5670532852196671,0.13952275263732863,1,0.09254313219609046,24.521983398899305,1.2953770547839377e-09,G6V,HIP 29271,10.2,0.91,0.748776236159663,0.7611749729395506
10185257,153,1,136.0795139880123,1.5456796528778454,0.7041587874284481,0.45952855331104314,0,0.08495928257422679,25.905573660943773,7.892646351585152e-09,K1V,HIP 81300,9.75,0.47,0.8087245532398495,0.697721667584317
10185257,154,1,137.4825710946344,0.36441364616953514,0.5336836179828567,0.38557306054984763,0,0.06518041749022072,27.76639759359277,7.749958379690402e-10,G8V,HIP 43587,12.34,0.66,0.7653005752520591,0.4733405114489258
