seed,obs_num,plan_num,arrival_time,char_time,Spec,Name,dist,luminosity,comp0,Mp
10185257,126,1,101.62068209125825,5.848123170456016,F0Ib-II,HIP 58910,5.52,0.03,0.3749622574774261,0.9735057129612203
10185257,293,1,323.2751206623571,12.236495182222832,G8/K0V,HIP 101997,14.38,0.56,0.7458820358871124,2.2706927185670165
10185257,354,1,474.841224306215,22.849398018528124,K5/M0V,HIP 113576,8.22,0.1,0.6383193706379676,1.0692733963182819
10185257,360,1,528.9556505832754,10.177811510899154,K5/M0V,HIP 113576,8.22,0.1,0.6383193706379676,1.0692733963182819
10185257,371,1,570.3603212869734,8.633517608835517,K5/M0V,HIP 113576,8.22,0.1,0.6383193706379676,1.0692733963182819
10185257,378,1,599.6565033583008,10.875772457554827,K1V,HIP 81300,9.75,0.47,0.8087245532398495,0.697721667584317
10185257,379,1,621.8920482734104,9.68687743354276,K5/M0V,HIP 113576,8.22,0.1,0.6383193706379676,1.0692733963182819
10185257,391,1,663.2877184140675,8.594464702588146,K5/M0V,HIP 113576,8.22,0.1,0.6383193706379676,1.0692733963182819
10185257,400,1,704.1432632250539,9.942935922798851,K5/M0V,HIP 113576,8.22,0.1,0.6383193706379676,1.0692733963182819
10185257,409,1,744.5179442300766,15.844807470532434,K5/M0V,HIP 113576,8.22,0.1,0.6383193706379676,1.0692733963182819
10185257,412,1,779.5214093346779,15.917266265113238,K1V,HIP 33817,14.65,0.47,0.7280589143434903,1.308478831914247
10185257,422,1,838.149236028502,24.84841653810524,K5/M0V,HIP 113576,8.22,0.1,0.6383193706379676,1.0692733963182819
10185257,424,1,888.8755191956793,0.7433366407546825,G3V,HIP 3821 A,5.94,1.31,0.6223399097766197,1.2931394207233322
10185257,427,1,894.5657385648904,10.155880596604968,K5/M0V,HIP 113576,8.22,0.1,0.6383193706379676,1.0692733963182819
10185257,428,1,915.3614997581003,26.860929275186706,K1V,HIP 33817,14.65,0.47,0.7280589143434903,1.308478831914247
10185257,429,1,969.5673583084738,9.284144214675239,K5/M0V,HIP 113576,8.22,0.1,0.6383193706379676,1.0692733963182819
10185257,431,1,989.3834736417848,3.89082104303799,G6V,HIP 29271,10.2,0.91,0.748776236159663,0.7611749729395506
10185257,457,1,1064.4352399730021,15.311149133432233,K1V,HIP 33817,14.65,0.47,0.7280589143434903,1.308478831914247
10185257,489,1,1199.4975496079153,17.40307499796549,G0Vvar,HIP 77257,12.12,2.22,0.3287289267837775,2.2173201385738426
10185257,489,2,1199.4975496079153,17.40307499796549,G0Vvar,HIP 77257,12.12,2.22,0.3287289267837775,0.5681249916888231
10185257,504,1,1279.7398640210888,9.94517477840303,G5V,HIP 15457,9.14,0.88,0.7579666656021945,0.6341919827518183
10185257,546,1,1466.1709753720672,6.180834874686684,G5V,HIP 15457,9.14,0.88,0.7579666656021945,0.6341919827518183
10185257,581,1,1653.474159945056,8.724832165387099,G5V,HIP 15457,9.14,0.88,0.7579666656021945,0.6341919827518183
114627190,174,1,150.25330173497906,1.116124531960633,M0.0V,HIP 99701,6.2,0.07,0.7274757131894531,2.1922632965061997
114627190,261,1,253.6731781281419,3.419844824352033,M1.5V,HIP 439,4.34,0.02,0.42397328888869307,0.4290131429742268
114627190,272,1,274.68446580038744,3.3993524554781605,M1.5V,HIP 439,4.34,0.02,0.42397328888869307,0.4290131429742268
114627190,283,1,295.82541095863564,3.1287546866957237,M1.5V,HIP 439,4.34,0.02,0.42397328888869307,0.4290131429742268
114627190,296,1,318.46819857980313,3.0834127856923663,M1.5V,HIP 439,4.34,0.02,0.42397328888869307,0.4290131429742268
114627190,316,1,353.42734051657294,4.041489743325334,G3V,HIP 27435,15.18,0.85,0.722473541136078,2.2787468885775777
